Date,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
6/3/2011,130.15,131.42,130.08,130.42,234690200,101.72,-0.009944482,103.6692857,103.9506
6/6/2011,130.09,130.36,128.87,129.04,179951200,100.65,-0.010581608,103.4385714,103.9216
6/7/2011,129.7,130.07,128.85,128.96,161660500,100.58,-0.000620004,103.2035714,103.885
6/8/2011,128.76,129.19,128.18,128.42,198696400,100.16,-0.004187222,102.8721429,103.845
6/9/2011,128.77,129.93,128.46,129.4,160964400,100.93,0.007631425,102.5785714,103.8066
6/10/2011,128.85,128.93,127.26,127.6,238629400,99.52,-0.013910471,102.2435714,103.7258
6/13/2011,127.89,128.24,127.05,127.7,207599800,99.6,0.000783846,102.0007143,103.6496
6/14/2011,128.87,129.77,128.82,129.32,160570400,100.86,0.012685758,101.8535714,103.5898
6/15/2011,128.24,129.3,126.68,127.02,300958000,99.07,-0.017785351,101.5542857,103.4924
6/16/2011,127.06,127.97,126.32,127.3,308032800,99.29,0.002204637,101.2371429,103.3998
6/17/2011,127.93,127.94,126.62,127.05,233284900,99.59,0.002984021,100.9128571,103.3066
6/20/2011,126.62,127.97,126.58,127.7,159479000,100.09,0.00511606,100.5464286,103.2288
6/21/2011,128.36,129.7,127.75,129.45,193157300,101.47,0.013703927,100.4478571,103.1856
6/22/2011,129.05,129.81,128.59,128.67,176703000,100.85,-0.006025616,100.3128571,103.1364
6/23/2011,127.16,128.64,126.19,128.3,334286500,100.56,-0.002875504,100.23,103.0968
6/24/2011,128.27,128.37,126.62,126.81,226129300,99.4,-0.011613477,100.1407143,103.0342
6/27/2011,126.89,128.43,126.64,127.94,168904700,100.28,0.00891139,100.1192857,102.9876
6/28/2011,128.45,129.63,128.27,129.61,165556300,101.59,0.013052697,100.2214286,102.9596
6/29/2011,130.2,130.93,129.63,130.72,244295500,102.46,0.008564171,100.3307143,102.9722
6/30/2011,131.14,132.18,130.71,131.97,223322700,103.44,0.009562197,100.6107143,102.9926
7/1/2011,132.09,134.1,131.78,133.92,202385700,104.97,0.014776576,100.9942857,103.0158
7/5/2011,133.78,134.08,133.39,133.81,165936000,104.88,-0.00082203,101.2814286,103.0266
7/6/2011,133.49,134.14,133.11,133.97,143331600,105.01,0.001196306,101.7057143,103.0422
7/7/2011,135.16,135.7,134.88,135.36,170464200,106.1,0.010375287,102.1921429,103.0616
7/8/2011,133.83,135.36,133.39,134.4,194100500,105.35,-0.007092045,102.6035714,103.0522
7/11/2011,132.75,133.18,131.66,131.97,195918600,103.44,-0.018080755,102.8428571,102.9978
7/12/2011,131.69,132.78,131.36,131.4,214675700,102.99,-0.004319057,102.9514286,102.9294
7/13/2011,132.09,133.22,131.52,131.84,204062600,103.34,0.003348809,103.1292857,102.8712
7/14/2011,132.17,132.78,130.68,130.93,226111800,102.63,-0.006902582,103.2771429,102.8066
